iter	Passed	Remaining
624	2739	1643
625	2743	1639
626	2747	1634
627	2752	1630
628	2757	1626
629	2761	1622
630	2766	1617
631	2771	1613
632	2776	1609
633	2780	1604
634	2784	1600
635	2788	1596
636	2793	1591
637	2798	1587
638	2802	1582
639	2806	1578
640	2811	1574
641	2815	1570
642	2820	1565
643	2824	1561
644	2828	1556
645	2833	1552
646	2837	1548
647	2841	1543
648	2846	1539
649	2852	1535
650	2856	1531
651	2861	1527
652	2866	1523
653	2871	1518
654	2876	1514
655	2880	1510
656	2884	1506
657	2888	1501
658	2893	1497
659	2898	1493
660	2902	1488
661	2908	1484
662	2912	1480
663	2918	1476
664	2922	1472
665	2926	1467
666	2931	1463
667	2935	1459
668	2940	1454
669	2944	1450
670	2949	1446
671	2952	1441
672	2957	1437
673	2961	1432
674	2965	1427
675	2969	1423
676	2974	1419
677	2978	1414
678	2982	1410
679	2986	1405
680	2990	1400
681	2995	1396
682	2999	1392
683	3003	1387
684	3007	1382
685	3012	1379
686	3017	1374
687	3021	1370
688	3025	1365
689	3029	1361
690	3033	1356
691	3037	1352
692	3041	1347
693	3045	1342
694	3049	1338
695	3055	1334
696	3059	1330
697	3063	1325
698	3067	1320
699	3071	1316
700	3076	1312
701	3081	1308
702	3086	1303
703	3090	1299
704	3094	1294
705	3098	1290
706	3102	1285
707	3107	1281
708	3112	1277
709	3117	1273
710	3122	1269
711	3127	1265
712	3132	1260
713	3136	1256
714	3140	1251
715	3144	1247
716	3148	1242
717	3152	1238
718	3156	1233
719	3160	1229
720	3164	1224
721	3167	1219
722	3171	1215
723	3175	1210
724	3179	1205
725	3183	1201
726	3187	1196
727	3191	1192
728	3196	1188
729	3200	1183
730	3203	1179
731	3208	1174
732	3212	1170
733	3215	1165
734	3219	1160
735	3223	1156
736	3227	1151
737	3231	1147
738	3235	1142
739	3239	1138
740	3243	1133
741	3247	1129
742	3251	1124
743	3255	1120
744	3260	1115
745	3264	1111
746	3268	1106
747	3272	1102
748	3275	1097
749	3280	1093
750	3284	1088
751	3288	1084
752	3292	1080
753	3296	1075
754	3300	1071
755	3305	1066
756	3309	1062
757	3313	1057
758	3317	1053
759	3322	1049
760	3326	1044
761	3330	1040
762	3335	1036
763	3340	1031
764	3344	1027
765	3348	1023
766	3354	1018
767	3358	1014
768	3363	1010
769	3367	1005
770	3373	1001
771	3377	997
772	3381	993
773	3386	988
774	3390	984
775	3395	980
776	3399	975
777	3404	971
778	3407	966
779	3412	962
780	3416	958
781	3421	953
782	3425	949
783	3431	945
784	3435	941
785	3440	936
786	3444	932
787	3449	928
788	3453	923
789	3457	919
790	3462	914
791	3467	910
792	3471	906
793	3476	901
794	3480	897
795	3485	893
796	3489	888
797	3494	884
798	3498	880
799	3503	875
800	3507	871
801	3511	867
802	3516	862
803	3520	858
804	3525	854
805	3530	849
806	3534	845
807	3538	840
808	3542	836
809	3546	831
810	3550	827
811	3556	823
812	3560	819
813	3564	814
814	3569	810
815	3573	805
816	3577	801
817	3582	796
818	3586	792
819	3590	788
820	3594	783
821	3598	779
822	3603	775
823	3608	770
824	3612	766
825	3617	761
826	3622	757
827	3625	753
828	3629	748
829	3633	744
830	3638	739
831	3641	735
832	3645	730
833	3649	726
834	3653	721
835	3657	717
836	3660	712
837	3665	708
838	3669	704
839	3673	699
840	3677	695
841	3681	690
842	3686	686
843	3690	682
844	3693	677
845	3698	673
846	3702	668
847	3705	664
848	3710	659
849	3714	655
850	3717	650
851	3721	646
852	3725	642
853	3730	637
854	3734	633
855	3738	628
856	3742	624
857	3746	620
858	3750	615
859	3754	611
860	3759	606
861	3763	602
862	3767	598
863	3771	593
864	3775	589
865	3779	584
866	3784	580
867	3788	576
868	3792	571
869	3796	567
870	3800	562
871	3804	558
872	3808	554
873	3812	549
874	3816	545
875	3820	540
876	3824	536
877	3828	532
878	3833	527
879	3838	523
880	3843	519
881	3847	514
882	3852	510
883	3856	506
884	3860	501
885	3864	497
886	3869	492
887	3874	488
888	3878	484
889	3882	479
890	3887	475
891	3892	471
892	3896	466
893	3900	462
894	3906	458
895	3910	453
896	3914	449
897	3919	445
898	3923	440
899	3928	436
900	3935	432
901	3940	428
902	3944	423
903	3949	419
904	3954	415
905	3958	410
906	3962	406
907	3966	401
908	3971	397
909	3975	393
910	3980	388
911	3984	384
912	3988	380
913	3992	375
914	3998	371
915	4002	367
916	4006	362
917	4013	358
918	4017	354
919	4021	349
920	4025	345
921	4030	340
922	4034	336
923	4039	332
924	4043	327
925	4048	323
926	4052	319
927	4056	314
928	4061	310
929	4065	306
930	4069	301
931	4073	297
932	4077	292
933	4081	288
934	4085	284
935	4089	279
936	4094	275
937	4098	270
938	4102	266
939	4106	262
940	4111	257
941	4115	253
942	4119	249
943	4124	244
944	4128	240
945	4132	235
946	4136	231
947	4140	227
948	4145	222
949	4148	218
950	4153	213
951	4157	209
952	4161	205
953	4165	200
954	4169	196
955	4173	192
956	4177	187
957	4181	183
958	4185	178
959	4189	174
960	4193	170
961	4197	165
962	4201	161
963	4205	157
964	4209	152
965	4213	148
966	4217	143
967	4221	139
968	4225	135
969	4228	130
970	4232	126
971	4236	122
972	4240	117
973	4243	113
974	4247	108
975	4251	104
976	4255	100
977	4259	95
978	4263	91
979	4267	87
980	4271	82
981	4275	78
982	4278	73
983	4283	69
984	4286	65
985	4290	60
